Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Seq2,Seq3,Mod,Dup1,Dup2,Dup3,RankScore,Mean,Median
1,68.5,5,9,14,30,42,100,3,2,0,0,0,0,1,3,40.0,20.0,14
2,68.5,8,11,14,29,38,100,3,2,0,0,1,0,1,2,40.0,20.0,14
3,68.5,6,13,23,28,30,100,3,2,0,0,1,0,2,2,40.0,20.0,23
4,68.5,3,10,26,29,32,100,3,2,0,0,0,0,0,2,40.0,20.0,26
5,68.5,4,11,17,26,42,100,3,2,0,0,0,0,1,2,40.0,20.0,17
6,68.5,7,14,18,26,35,100,3,2,0,0,0,0,0,1,40.0,20.0,18
7,68.5,4,15,22,26,33,100,3,2,0,0,0,1,1,1,40.0,20.0,22
8,68.5,1,4,23,30,42,100,3,2,0,0,0,0,2,3,40.0,20.0,23
9,68.0005,9,15,19,26,32,101,2,3,0,0,1,0,0,1,40.0,20.2,19
10,68.0005,5,13,17,22,42,99,2,3,0,0,1,1,1,2,40.0,19.8,17
11,68.0005,6,13,20,23,37,99,2,3,0,0,1,0,1,1,40.0,19.8,20
12,68.0005,1,11,24,28,35,99,2,3,0,0,1,0,1,1,40.0,19.8,24
13,68.0005,2,17,20,29,33,101,2,3,0,0,0,0,0,1,40.0,20.2,20
14,68.0005,6,9,19,25,42,101,2,3,0,0,1,1,1,3,40.0,20.2,19
15,68.0005,3,8,14,33,41,99,2,3,0,0,1,0,0,0,40.0,19.8,14
16,68.0005,5,14,17,29,34,99,2,3,0,0,1,0,0,1,40.0,19.8,17
17,68.0005,1,15,19,28,36,99,2,3,0,0,0,0,0,0,40.0,19.8,19
18,68.0005,8,11,19,29,34,101,2,3,0,0,1,0,1,2,40.0,20.2,19
19,68.0005,5,14,23,27,30,99,2,3,0,0,0,0,2,2,40.0,19.8,23
20,68.0005,6,15,21,25,34,101,2,3,0,0,1,1,1,1,40.0,20.2,21
21,68.0005,7,15,20,24,33,99,2,3,0,0,0,0,0,1,40.0,19.8,20
22,68.0005,3,14,19,24,41,101,2,3,0,0,1,0,0,0,40.0,20.2,19
23,68.0005,6,11,23,27,34,101,2,3,0,0,0,0,2,2,40.0,20.2,23
24,68.0005,5,11,14,29,42,101,2,3,0,0,0,0,1,3,40.0,20.2,14
25,68.0005,8,11,14,25,41,99,2,3,0,0,1,1,2,2,40.0,19.8,14
26,68.0005,2,13,21,24,39,99,2,3,0,0,0,0,0,0,40.0,19.8,21
27,68.0005,6,14,21,23,37,101,2,3,0,0,0,0,1,1,40.0,20.2,21
28,67.501,7,12,15,28,36,98,3,2,0,0,0,0,0,1,40.0,19.6,15
29,67.501,7,12,23,26,30,98,3,2,0,0,0,0,2,3,40.0,19.6,23
30,67.501,3,12,16,29,42,102,3,2,0,0,1,1,1,3,40.0,20.4,16
31,67.501,7,11,22,26,32,98,3,2,0,0,1,1,2,3,40.0,19.6,22
32,67.501,4,17,20,22,39,102,3,2,0,0,0,1,1,1,40.0,20.4,20
33,67.501,8,10,13,26,41,98,3,2,0,0,0,0,0,1,40.0,19.6,13
34,67.501,2,16,19,27,34,98,3,2,0,0,0,1,1,1,40.0,19.6,19
35,67.501,4,15,20,26,33,98,3,2,0,0,0,0,0,0,40.0,19.6,20
36,67.501,4,14,17,21,42,98,3,2,0,0,1,0,0,1,40.0,19.6,17
37,67.501,1,12,24,29,36,102,3,2,0,0,0,0,0,1,40.0,20.4,24
38,67.501,1,14,19,28,40,102,3,2,0,0,0,1,1,1,40.0,20.4,19
