Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Seq2,Seq3,Mod,Dup1,Dup2,Dup3,r0,r1,r2,r3,r4,r5,r6,r7,Mean,Median
1,80.5,5,12,20,25,38,100,3,2,0,0,1,1,1,1,0,0,0,3,2,0,0,0,20.0,20
2,80.0005,4,16,19,23,37,99,2,3,0,0,0,1,2,2,0,0,0,1,1,0,2,1,19.8,19
3,80.0005,5,13,16,28,39,101,2,3,0,0,0,1,1,1,0,0,0,0,3,1,0,1,20.2,16
4,79.0015,5,16,18,23,35,97,2,3,0,0,1,1,2,2,0,0,0,2,3,0,0,0,19.4,18
5,79.0015,4,7,19,28,39,97,2,3,0,0,1,0,0,1,0,0,0,0,2,0,1,2,19.4,19
6,78.502,4,13,20,30,37,104,3,2,0,0,1,0,1,1,0,0,0,1,1,1,2,0,20.8,20
7,78.0025,3,13,20,28,31,95,2,3,0,0,1,1,1,1,0,0,0,1,0,3,0,1,19.0,20
8,78.0025,3,13,20,28,41,105,2,3,0,0,1,0,0,0,0,0,0,1,0,3,0,1,21.0,20
9,77.0035,3,5,12,32,41,93,2,3,0,0,1,0,0,0,0,0,0,1,1,2,1,0,18.6,12
10,77.0005,5,7,22,30,37,101,2,3,0,0,1,1,2,3,0,0,0,0,3,1,1,0,20.2,22
11,76.5,4,12,20,27,37,100,3,2,0,0,1,0,0,0,0,0,1,2,0,0,2,0,20.0,20
12,76.0005,4,8,19,29,41,101,2,3,0,0,1,0,0,1,0,0,1,1,0,1,1,1,20.2,19
13,76.0005,1,12,16,29,41,99,2,3,0,0,1,1,1,2,0,0,1,2,1,1,0,0,19.8,16
14,76.0005,4,15,19,28,35,101,2,3,0,0,1,0,0,0,0,0,1,0,1,0,1,2,20.2,19
15,76.0005,3,15,20,22,41,101,2,3,0,0,0,1,1,1,0,0,1,1,0,3,0,0,20.2,20
16,76.0005,5,10,22,29,35,101,2,3,0,0,1,1,1,3,0,0,1,1,2,1,0,0,20.2,22
17,76.0005,9,12,18,25,37,101,2,3,0,0,0,1,1,2,0,0,1,2,1,0,1,0,20.2,18
18,76.0005,1,7,12,38,41,99,2,3,0,0,1,0,0,1,0,0,1,2,1,1,0,0,19.8,12
19,76.0005,7,12,23,26,31,99,2,3,0,0,0,1,2,3,0,0,1,2,1,1,0,0,19.8,23
20,75.508,4,12,28,31,41,116,3,2,0,0,1,1,1,1,0,0,0,1,0,2,1,1,23.2,28
21,75.501,2,13,18,28,37,98,3,2,0,0,1,0,0,0,0,0,1,1,0,1,1,1,19.6,18
22,75.501,4,8,16,33,41,102,3,2,0,0,0,1,1,1,0,0,1,1,1,1,1,0,20.4,16
23,75.0055,3,12,28,33,35,111,2,3,0,0,1,0,0,0,0,0,0,2,1,1,0,1,22.2,28
24,75.0025,3,7,28,32,35,105,2,3,0,0,0,0,0,1,0,0,0,0,2,1,1,1,21.0,28
25,75.0015,3,16,19,21,38,97,2,3,0,0,0,1,1,1,0,0,1,1,1,1,0,1,19.4,19
26,75.0015,9,12,18,25,39,103,2,3,0,0,1,1,1,2,0,0,1,2,2,0,0,0,20.6,18
27,75.0015,4,12,15,25,41,97,2,3,0,0,1,1,1,1,0,0,1,1,1,1,1,0,19.4,15
28,75.0005,3,4,16,35,41,99,2,3,1,0,0,1,1,1,0,0,0,0,2,2,1,0,19.8,16
29,74.502,9,16,19,28,32,104,3,2,0,0,1,1,1,2,0,0,1,0,1,0,1,2,20.8,19
30,74.0055,3,10,22,35,41,111,2,3,0,0,0,1,1,2,0,0,1,0,1,3,0,0,22.2,22
31,74.0025,4,11,22,29,39,105,2,3,0,0,1,1,2,3,0,0,1,1,1,1,1,0,21.0,22
32,74.0025,1,7,19,38,40,105,2,3,0,0,0,1,1,2,0,0,1,1,2,0,0,1,21.0,19
33,74.0025,7,9,16,32,41,105,2,3,0,0,0,1,1,3,0,0,1,0,2,1,1,0,21.0,16
34,74.0025,7,11,20,25,32,95,2,3,0,0,0,1,2,3,0,0,1,1,2,0,1,0,19.0,20
