Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Seq2,Seq3,Mod,Modx,Dup1,Dup2,Dup3,r0,r1,r2,r3,r4,r5,r6,r7,Mean,Median
1,79.0015,3,16,20,31,33,103,2,3,0,0,1,0,0,1,1,0,0,0,2,1,2,0,0,20.6,20
2,79.0015,5,13,16,28,41,103,2,3,0,0,0,0,1,2,2,0,0,0,0,2,2,0,1,20.6,16
3,78.0025,4,7,23,30,41,105,2,3,0,0,0,0,1,2,2,0,0,0,1,2,1,1,0,21.0,23
4,77.503,7,12,16,28,31,94,3,2,0,0,0,0,1,2,2,0,0,0,1,2,1,0,1,18.8,16
5,77.0035,3,12,18,23,37,93,2,3,0,0,1,0,0,2,2,0,0,0,3,0,1,1,0,18.6,18
6,77.0035,5,13,16,28,31,93,2,3,0,0,0,0,1,2,2,0,0,0,0,2,2,0,1,18.6,16
7,77.0005,4,7,23,30,35,99,2,3,0,0,0,0,1,2,2,0,0,0,1,3,0,1,0,19.8,23
8,76.504,4,13,22,31,38,108,3,2,0,0,0,0,0,1,1,0,0,0,1,0,3,1,0,21.6,22
9,76.5,7,16,20,24,33,100,3,2,0,0,0,0,1,2,2,0,0,1,2,2,0,0,0,20.0,20
10,76.5,9,12,20,22,37,100,3,2,0,0,1,0,0,0,0,0,0,1,2,0,1,1,0,20.0,20
11,76.5,8,12,20,23,37,100,3,2,0,0,0,0,0,1,1,0,0,1,3,0,0,1,0,20.0,20
12,76.0075,5,12,20,37,41,115,2,3,0,0,0,0,1,1,1,0,0,0,2,1,1,1,0,23.0,20
13,76.0015,3,16,18,31,35,103,2,3,0,0,0,0,0,2,2,0,0,0,1,2,2,0,0,20.6,18
14,76.0005,5,11,20,30,33,99,2,3,0,0,1,0,1,1,1,0,0,1,2,2,0,0,0,19.8,20
15,76.0005,7,12,23,26,33,101,2,3,0,0,1,0,1,2,2,0,0,1,3,1,0,0,0,20.2,23
16,76.0005,2,13,22,25,39,101,2,3,0,0,1,0,0,0,0,0,0,1,0,2,2,0,0,20.2,22
17,76.0005,7,15,22,25,30,99,2,3,0,0,1,0,1,1,1,0,0,1,0,3,1,0,0,19.8,22
18,75.502,12,16,20,23,33,104,3,2,0,0,1,0,0,2,2,0,0,0,4,1,0,0,0,20.8,20
19,75.501,3,12,23,26,38,102,3,2,0,0,1,0,0,2,2,0,0,1,3,0,1,0,0,20.4,23
20,75.501,1,12,20,25,40,98,3,2,0,0,1,0,1,1,1,0,0,1,2,2,0,0,0,19.6,20
21,75.501,2,5,12,38,41,98,3,2,0,0,1,0,1,2,2,0,0,1,2,1,1,0,0,19.6,12
22,75.501,6,13,16,28,39,102,3,2,0,0,1,0,0,1,1,0,0,1,0,2,1,0,1,20.4,16
23,75.0055,5,18,22,29,37,111,2,3,0,0,0,0,1,2,3,0,0,0,2,1,1,1,0,22.2,22
24,75.0055,7,16,20,31,37,111,2,3,0,0,1,0,1,2,2,0,0,0,1,2,1,1,0,22.2,20
25,75.0015,3,13,19,28,34,97,2,3,0,0,1,0,1,1,1,0,0,1,0,0,2,0,2,19.4,19
26,75.0015,3,12,17,25,40,97,2,3,0,0,0,0,1,1,1,0,0,1,1,2,1,0,0,19.4,17
27,75.0015,3,13,20,25,36,97,2,3,0,0,1,0,0,0,0,0,0,1,1,1,2,0,0,19.4,20
28,75.0015,9,16,20,25,33,103,2,3,0,0,0,0,0,1,1,0,0,1,2,2,0,0,0,20.6,20
29,75.0015,3,13,26,29,32,103,2,3,0,0,1,0,0,0,1,0,0,1,1,0,2,1,0,20.6,26
30,74.502,2,12,23,30,37,104,3,2,0,0,1,0,0,1,1,0,0,1,2,1,0,1,0,20.8,23
31,74.502,7,12,19,22,36,96,3,2,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,19.2,19
32,74.502,5,12,18,25,36,96,3,2,0,0,1,0,1,2,2,0,0,1,2,2,0,0,0,19.2,18
33,74.501,4,18,19,28,33,102,3,2,1,0,1,0,0,1,1,0,0,0,2,0,0,1,2,20.4,19
34,74.0055,1,12,25,33,40,111,2,3,0,0,0,0,1,1,1,0,0,1,2,2,0,0,0,22.2,25
35,74.0055,5,13,20,31,42,111,2,3,0,0,0,0,1,1,1,0,0,1,1,1,2,0,0,22.2,20
36,74.0025,3,13,20,25,34,95,2,3,0,0,1,0,1,1,1,0,0,1,1,1,2,0,0,19.0,20
37,74.0025,1,12,18,33,41,105,2,3,0,0,1,0,0,1,1,0,0,1,3,0,1,0,0,21.0,18
38,74.0025,5,13,24,28,35,105,2,3,0,0,1,0,1,1,1,0,0,1,0,2,1,0,1,21.0,24
39,73.506,4,15,22,31,40,112,3,2,0,0,0,0,1,1,1,0,0,1,0,1,2,1,0,22.4,22
40,73.506,7,13,20,30,42,112,3,2,0,0,1,0,1,1,1,0,0,1,1,2,1,0,0,22.4,20
41,73.504,4,7,28,32,37,108,3,2,0,0,1,0,1,1,1,0,0,0,0,1,0,3,1,21.6,28
42,73.504,12,16,20,23,37,108,3,2,0,0,0,0,0,2,2,0,0,0,3,1,0,1,0,21.6,20
43,73.503,1,12,20,22,39,94,3,2,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,18.8,20
44,73.503,8,12,20,31,35,106,3,2,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,21.2,20
45,73.503,4,10,19,28,33,94,3,2,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,18.8,19
46,73.503,4,7,24,30,41,106,3,2,0,0,1,0,1,1,1,0,0,1,0,2,1,1,0,21.2,24
47,73.0075,4,19,23,32,37,115,2,3,0,0,0,0,0,1,1,0,0,0,1,0,0,3,1,23.0,23
48,73.0065,7,10,23,32,41,113,2,3,0,0,0,0,1,2,3,0,0,1,1,1,1,1,0,22.6,23
49,73.0045,4,7,29,32,37,109,2,3,0,0,1,0,1,1,2,0,0,0,1,1,0,3,0,21.8,29
50,73.0035,4,10,23,31,39,107,2,3,0,0,0,0,0,1,2,0,0,1,1,1,1,1,0,21.4,23
51,73.0005,4,7,17,33,38,99,2,3,0,0,1,0,1,2,2,0,0,1,2,1,0,1,0,19.8,17
52,72.504,3,12,26,29,38,108,3,2,0,0,0,0,0,1,2,0,0,1,3,0,1,0,0,21.6,26
53,72.504,3,14,28,30,33,108,3,2,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,21.6,28
54,72.503,4,5,18,28,39,94,3,2,1,0,1,0,1,2,2,0,0,0,1,2,0,1,1,18.8,18
55,72.501,3,10,18,30,37,98,3,2,0,0,1,0,0,1,2,0,0,1,1,1,1,1,0,19.6,18
56,72.5,1,4,18,36,41,100,3,2,0,0,1,0,0,1,1,0,0,2,1,0,1,1,0,20.0,18
57,72.5,9,12,16,24,39,100,3,2,0,0,1,0,0,1,1,0,0,2,1,2,0,0,0,20.0,16
58,72.5,6,12,19,29,34,100,3,2,0,0,1,0,1,1,2,0,0,2,2,0,0,0,1,20.0,19
59,72.5,8,14,22,25,31,100,3,2,0,0,0,0,1,1,1,0,0,2,0,1,2,0,0,20.0,22
60,72.0085,7,18,22,33,37,117,2,3,0,0,1,0,1,2,2,0,0,0,2,1,1,1,0,23.4,22
61,72.0085,3,7,12,28,33,83,2,3,0,0,1,0,1,1,1,0,0,0,2,1,1,0,1,16.6,12
62,72.0085,7,16,25,28,41,117,2,3,0,0,0,0,1,2,2,0,0,0,0,3,1,0,1,23.4,25
63,72.0045,1,16,19,25,30,91,2,3,0,0,0,0,0,1,1,0,0,1,0,3,0,0,1,18.2,19
64,72.0045,3,7,18,24,39,91,2,3,0,0,0,0,1,2,2,0,0,1,1,2,1,0,0,18.2,18
65,72.0045,9,13,20,32,35,109,2,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,21.8,20
66,72.0015,1,7,28,32,35,103,2,3,0,0,0,0,1,1,1,0,0,1,0,2,0,1,1,20.6,28
67,72.0015,2,13,16,31,35,97,2,3,0,0,0,0,0,1,1,0,0,1,0,2,2,0,0,19.4,16
68,72.0005,1,18,22,27,31,99,2,3,0,0,1,0,0,1,1,0,0,2,1,0,2,0,0,19.8,22
69,72.0005,1,12,27,29,32,101,2,3,0,0,1,0,0,0,1,0,0,2,2,0,0,1,0,20.2,27
70,72.0005,1,14,25,28,33,101,2,3,0,0,0,0,1,1,1,0,0,2,1,1,0,0,1,20.2,25
71,72.0005,8,14,19,29,31,101,2,3,0,0,1,0,1,1,2,0,0,2,1,0,1,0,1,20.2,19
72,72.0005,3,19,21,26,32,101,2,3,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,20.2,21
73,72.0005,5,8,10,37,41,101,2,3,0,0,0,0,1,1,2,0,0,2,0,1,1,1,0,20.2,10
74,71.509,4,16,28,31,39,118,3,2,0,0,0,0,0,1,1,0,0,0,0,2,1,1,1,23.6,28
75,71.506,13,16,25,28,30,112,3,2,0,0,0,0,0,1,1,0,0,0,0,3,1,0,1,22.4,25
76,71.505,2,13,18,22,35,90,3,2,0,0,1,0,0,1,1,0,0,1,1,1,2,0,0,18.0,18
77,71.505,7,13,24,28,38,110,3,2,0,0,1,0,1,2,2,0,0,1,1,1,1,0,1,22.0,24
78,71.504,4,13,16,29,30,92,3,2,1,0,0,0,0,1,2,0,0,0,1,2,1,1,0,18.4,16
79,71.502,6,13,16,30,39,104,3,2,0,0,1,0,0,1,1,0,0,1,0,3,1,0,0,20.8,16
80,71.501,8,13,19,24,38,102,3,2,0,0,1,0,0,1,1,0,0,2,1,0,1,0,1,20.4,19
81,71.501,2,15,19,28,38,102,3,2,0,0,1,0,0,1,1,0,0,2,1,0,0,0,2,20.4,19
82,71.501,4,8,17,33,40,102,3,2,0,0,0,0,1,1,1,0,0,2,1,1,0,1,0,20.4,17
83,71.501,6,15,18,28,31,98,3,2,0,0,1,0,0,1,1,0,0,2,1,0,1,0,1,19.6,18
84,71.501,3,12,21,28,34,98,3,2,0,0,0,0,1,1,1,0,0,2,1,0,1,0,1,19.6,21
85,71.501,4,12,21,27,38,102,3,2,0,0,0,0,0,1,1,0,0,2,2,0,0,1,0,20.4,21
86,71.501,1,14,22,28,37,102,3,2,0,0,0,0,1,1,1,0,0,2,0,0,1,1,1,20.4,22
87,71.501,5,8,10,38,41,102,3,2,0,0,1,0,1,2,3,0,0,2,1,1,1,0,0,20.4,10
88,71.5,8,13,20,29,30,100,3,2,1,0,1,0,0,0,1,0,0,1,2,1,1,0,0,20.0,20
89,71.0085,4,14,25,33,41,117,2,3,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,23.4,25
90,71.0055,8,12,25,31,35,111,2,3,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,22.2,25
91,71.0055,5,10,25,32,39,111,2,3,0,0,1,0,1,1,2,0,0,1,0,3,0,1,0,22.2,25
92,71.0055,3,12,17,25,32,89,2,3,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,17.8,17
93,71.0025,3,12,17,30,33,95,2,3,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,19.0,17
94,71.0015,7,10,13,26,41,97,2,3,0,0,0,0,1,1,2,0,0,2,0,1,2,0,0,19.4,13
95,71.0015,3,13,18,27,42,103,2,3,0,0,1,0,0,1,1,0,0,2,1,0,2,0,0,20.6,18
96,71.0015,4,7,23,31,32,97,2,3,1,0,0,0,1,2,2,0,0,0,1,1,1,2,0,19.4,23
97,71.0015,6,18,21,23,35,103,2,3,0,0,0,0,0,2,2,0,0,2,2,1,0,0,0,20.6,21
98,71.0015,3,15,22,29,34,103,2,3,0,0,0,0,1,1,2,0,0,2,1,0,2,0,0,20.6,22
99,71.0015,5,13,15,28,36,97,2,3,0,0,1,0,1,1,1,0,0,2,0,1,1,0,1,19.4,15
100,71.0005,4,11,22,23,41,101,2,3,1,0,1,0,0,1,1,0,0,1,1,0,2,1,0,20.2,22
101,71.0005,3,14,25,29,30,101,2,3,1,0,0,0,1,1,2,0,0,1,1,2,1,0,0,20.2,25
102,71.0005,3,13,14,30,41,101,2,3,1,0,1,0,1,1,1,0,0,1,0,1,3,0,0,20.2,14
103,71.0005,7,12,25,26,31,101,2,3,1,0,0,0,1,1,1,0,0,1,1,2,1,0,0,20.2,25
104,70.506,1,16,28,30,37,112,3,2,0,0,0,0,0,1,1,0,0,1,0,2,0,1,1,22.4,28
105,70.506,9,16,20,30,37,112,3,2,0,0,1,0,0,1,1,0,0,1,1,2,0,1,0,22.4,20
106,70.506,4,11,18,23,32,88,3,2,0,0,0,0,0,2,2,0,0,1,2,0,0,2,0,17.6,18
107,70.506,4,6,13,25,40,88,3,2,0,0,0,0,1,1,1,0,0,1,0,2,1,1,0,17.6,13
108,70.506,4,19,25,28,36,112,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,22.4,25
109,70.505,5,10,23,30,42,110,3,2,0,0,1,0,1,2,3,0,0,2,1,2,0,0,0,22.0,23
110,70.503,4,7,20,36,39,106,3,2,0,0,0,0,1,1,1,0,0,1,1,2,0,1,0,21.2,20
111,70.503,3,5,22,28,36,94,3,2,0,0,0,0,1,1,1,0,0,1,0,1,2,0,1,18.8,22
112,70.503,9,12,18,30,37,106,3,2,0,0,0,0,0,1,1,0,0,1,2,1,0,1,0,21.2,18
113,70.503,2,4,12,37,39,94,3,2,0,0,1,0,0,0,0,0,0,1,1,1,0,2,0,18.8,12
114,70.502,5,9,18,30,42,104,3,2,0,0,0,0,1,2,2,0,0,2,1,2,0,0,0,20.8,18
115,70.502,2,4,26,31,41,104,3,2,0,0,1,0,0,0,0,0,0,2,0,0,2,1,0,20.8,26
116,70.502,9,13,18,26,30,96,3,2,0,0,0,0,0,1,1,0,0,2,1,1,1,0,0,19.2,18
117,70.502,9,12,18,29,36,104,3,2,0,0,1,0,0,1,2,0,0,2,3,0,0,0,0,20.8,18
118,70.502,6,15,20,22,33,96,3,2,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,19.2,20
119,70.502,2,10,28,31,33,104,3,2,0,0,0,0,0,0,1,0,0,2,1,0,1,0,1,20.8,28
120,70.502,2,11,16,28,39,96,3,2,0,0,0,0,0,1,1,0,0,2,0,2,0,0,1,19.2,16
121,70.502,9,12,22,26,35,104,3,2,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,20.8,22
122,70.502,4,5,20,32,35,96,3,2,1,0,1,0,1,1,1,0,0,0,1,2,0,2,0,19.2,20
123,70.502,1,16,24,30,33,104,3,2,0,0,0,0,0,1,1,0,0,2,1,2,0,0,0,20.8,24
124,70.502,1,3,28,30,42,104,3,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,20.8,28
125,70.502,4,10,25,27,30,96,3,2,0,0,1,0,0,0,1,0,0,2,0,2,0,1,0,19.2,25
126,70.501,8,12,13,28,37,98,3,2,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,19.6,13
127,70.0105,3,7,18,20,31,79,2,3,0,0,0,0,1,2,2,0,0,0,2,1,2,0,0,15.8,18
128,70.0065,2,13,29,32,37,113,2,3,0,0,1,0,0,0,1,0,0,1,1,0,1,2,0,22.6,29
129,70.0025,8,11,22,31,33,105,2,3,0,0,1,0,0,0,0,0,0,2,1,0,2,0,0,21.0,22
130,70.0025,7,11,23,28,36,105,2,3,0,0,0,0,1,2,2,0,0,2,1,1,0,0,1,21.0,23
131,70.0025,3,8,21,33,40,105,2,3,0,0,1,0,1,1,1,0,0,2,1,1,1,0,0,21.0,21
132,70.0025,4,13,21,27,40,105,2,3,0,0,0,0,1,1,1,0,0,2,0,1,1,1,0,21.0,21
133,70.0025,2,15,23,25,40,105,2,3,0,0,1,0,1,2,2,0,0,2,1,2,0,0,0,21.0,23
134,70.0015,7,8,16,25,41,97,2,3,1,0,0,0,1,2,2,0,0,1,0,3,1,0,0,19.4,16
135,70.0015,4,13,21,32,33,103,2,3,1,0,1,0,0,0,0,0,0,1,1,0,1,2,0,20.6,21
136,70.0015,2,3,22,35,41,103,2,3,1,0,1,0,0,0,0,0,0,1,0,1,3,0,0,20.6,22
137,70.0015,5,16,24,25,33,103,2,3,1,0,1,0,1,2,2,0,0,1,1,3,0,0,0,20.6,24
138,70.0015,8,12,13,25,39,97,2,3,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,19.4,13
139,69.504,2,7,20,25,38,92,3,2,0,0,0,0,1,2,2,0,0,1,2,2,0,0,0,18.4,20
140,69.504,4,8,28,31,37,108,3,2,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,21.6,28
141,69.503,1,9,12,32,40,94,3,2,0,0,1,0,1,1,1,0,0,2,1,1,0,1,0,18.8,12
142,69.503,1,8,12,33,40,94,3,2,0,0,0,0,1,1,1,0,0,2,2,1,0,0,0,18.8,12
143,69.503,2,14,19,28,31,94,3,2,0,0,0,0,1,1,1,0,0,2,0,0,1,0,2,18.8,19
144,69.502,5,12,20,21,38,96,3,2,1,0,0,0,1,2,2,0,0,1,3,1,0,0,0,19.2,20
