Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Mean,Median
1,68.5,5,7,14,34,40,100,3,2,20.0,14.0
2,68.5,5,16,18,23,38,100,3,2,20.0,18.0
3,68.5,5,10,18,29,38,100,3,2,20.0,18.0
4,68.5,5,11,16,26,42,100,3,2,20.0,16.0
5,68.5,2,13,24,29,32,100,3,2,20.0,24.0
6,68.5,3,13,18,26,40,100,3,2,20.0,18.0
7,68.5,8,11,13,26,42,100,3,2,20.0,13.0
8,68.5,9,11,14,28,38,100,3,2,20.0,14.0
9,68.5,7,9,12,30,42,100,3,2,20.0,12.0
10,68.0,1,3,24,33,40,101,2,3,20.2,24.0
11,68.0,7,12,21,23,38,101,2,3,20.2,21.0
12,68.0,9,14,18,23,35,99,2,3,19.8,18.0
13,68.0,6,11,15,27,40,99,2,3,19.8,15.0
14,68.0,1,17,20,27,36,101,2,3,20.2,20.0
15,68.0,1,14,16,27,41,99,2,3,19.8,16.0
16,68.0,8,13,19,29,32,101,2,3,20.2,19.0
17,68.0,6,13,22,25,33,99,2,3,19.8,22.0
18,68.0,5,13,22,28,31,99,2,3,19.8,22.0
19,68.0,6,15,20,29,31,101,2,3,20.2,20.0
20,68.0,9,13,17,26,34,99,2,3,19.8,17.0
21,68.0,5,14,19,24,37,99,2,3,19.8,19.0
22,68.0,6,11,13,28,41,99,2,3,19.8,13.0
23,68.0,3,19,22,27,30,101,2,3,20.2,22.0
24,68.0,7,12,15,26,39,99,2,3,19.8,15.0
25,68.0,1,12,20,27,39,99,2,3,19.8,20.0
26,68.0,1,3,21,34,42,101,2,3,20.2,21.0
27,68.0,1,9,11,36,42,99,2,3,19.8,11.0
28,68.0,1,14,17,28,39,99,2,3,19.8,17.0
29,68.0,3,7,16,34,41,101,2,3,20.2,16.0
30,68.0,1,14,21,27,38,101,2,3,20.2,21.0
31,68.0,8,11,23,26,33,101,2,3,20.2,23.0
32,68.0,3,12,25,28,33,101,2,3,20.2,25.0
33,68.0,7,10,22,29,33,101,2,3,20.2,22.0
34,68.0,4,9,16,29,41,99,2,3,19.8,16.0
35,67.5,2,19,24,27,30,102,3,2,20.4,24.0
36,67.5,1,15,18,28,36,98,3,2,19.6,18.0
37,67.5,1,12,23,30,32,98,3,2,19.6,23.0
38,67.5,8,13,19,28,30,98,3,2,19.6,19.0
39,67.5,3,10,20,28,41,102,3,2,20.4,20.0
40,67.5,2,10,13,32,41,98,3,2,19.6,13.0
41,67.5,3,15,20,22,42,102,3,2,20.4,20.0
42,67.5,1,11,22,24,40,98,3,2,19.6,22.0
43,67.5,3,18,24,26,31,102,3,2,20.4,24.0
44,67.5,3,14,22,25,38,102,3,2,20.4,22.0
45,67.5,1,16,20,26,39,102,3,2,20.4,20.0
46,67.5,4,9,18,25,42,98,3,2,19.6,18.0
47,67.5,3,11,26,30,32,102,3,2,20.4,26.0
48,67.5,1,16,22,28,31,98,3,2,19.6,22.0
49,67.5,7,14,24,26,31,102,3,2,20.4,24.0
50,67.5,1,12,20,30,39,102,3,2,20.4,20.0
51,67.5,2,6,17,36,41,102,3,2,20.4,17.0
52,67.0,3,14,19,25,36,97,2,3,19.4,19.0
53,67.0,3,13,16,29,42,103,2,3,20.6,16.0
